name,OverallRating,age,hits,PotentialGrowth,Potential-Overall
Angeliño,78,23,28,83,5
Jan Bednarek,78,24,9,84,6
Hans Hateboer,78,26,15,79,1
Samuel Gigot,78,26,9,83,5
Pedro Henrique,78,27,5,81,3
Mbwana Ally Samatta,78,27,2,79,1
Islam Slimani,78,32,9,78,0
Bastos,78,28,7,79,1
Léo Dubois,78,25,14,82,4
Paulinho,78,27,4,79,1
Gonçalo Paciência,78,25,4,81,3
Jean Michaël Seri,78,29,8,78,0
Davide Zappacosta,78,28,4,79,1
Keita Baldé,78,25,23,81,3
Aleksandar Mitrovic,78,25,24,82,4
Ayoze Pérez,78,27,10,79,1
Nikola Maksimovic,78,28,3,79,1
Rúben Vezo,78,26,1,83,5
Guido Herrera,78,28,0,79,1
Leonardo Sigali,78,33,0,78,0
Iván Marcone,78,30,5,78,0
Wilmar Barrios,78,26,7,83,5
Benjamin Bourigeaud,78,26,2,81,3
Mateus Uribe,78,29,4,78,0
Adama Traoré,78,24,130,84,6
Guélor Kanga,78,29,6,78,0
Divock Origi,78,25,40,83,5
Niklas Stark,78,25,9,83,5
Wylan Cyprien,78,25,6,80,2
Rodrigo Javier De Paul,78,26,46,82,4
José Sá,78,27,4,81,3
Alexander Djiku,78,25,2,81,3
Philipp Max,78,26,2,80,2
Florian Niederlechner,78,29,0,78,0
Pierluigi Gollini,78,25,19,82,4
Elseid Hysaj,78,26,12,81,3
Emerson,78,25,22,82,4
Rui Silva,78,26,2,83,5
Jonas Hofmann,78,28,5,79,1
Jhon Córdoba,78,27,8,79,1
Adrien Thomasson,78,26,4,81,3
Óliver Torres,78,25,15,83,5
Marten de Roon,78,29,20,78,0
Jonas Hector,78,30,6,78,0
Bryan Cristante,78,25,11,82,4
Matheus,78,28,2,82,4
Carlos Bacca,78,33,2,78,0
Robin Olsen,78,30,3,78,0
Jesse Lingard,78,27,39,78,0
Leandro Trossard,78,25,5,81,3
Will Hughes,78,25,10,83,5
Bernard,78,27,16,78,0
Jean-Paul Boëtius,78,26,6,81,3
Santiago García,78,29,2,78,0
Kenny Lala,78,28,18,78,0
Loris Karius,78,27,16,81,3
Jamaal Lascelles,78,26,8,82,4
Davy Klaassen,78,27,5,79,1
Gregoire Defrel,78,29,1,78,0
Diego Demme,78,28,12,79,1
Conor Coady,78,27,9,80,2
Remo Freuler,78,28,9,78,0
Federico Fernández,78,31,7,78,0
Marcos Rojo,78,30,10,78,0
David López,78,30,2,78,0
Jeison Murillo,78,28,4,81,3
Pablo,78,29,0,79,1
Djibril Sidibé,78,28,11,78,0
Pedro Mendes,78,29,4,79,1
Marco Bizot,78,29,2,80,2
Lucas Pérez,78,31,2,78,0
Benjamin Stambouli,78,29,3,78,0
Daniel Caligiuri,78,32,3,78,0
Simone Verdi,78,28,5,78,0
Joel Robles,78,30,1,79,1
Alfre? Finnbogason,78,31,1,78,0
Andriy Yarmolenko,78,30,7,78,0
Víctor Ruiz,78,31,4,78,0
Ricardo Rodríguez,78,27,13,78,0
Jaume Costa,78,32,4,78,0
Shane Duffy,78,28,1,79,1
Danijel Subašic,78,35,3,78,0
Chris Wood,78,28,6,78,0
Pascal Groß,78,29,7,78,0
Michail Antonio,78,30,8,78,0
Kamil Glik,78,32,11,78,0
Christian Kabasele,78,29,3,79,1
Cote,78,30,0,78,0
Kevin Strootman,78,30,4,78,0
Julian Baumgartlinger,78,32,2,78,0
Shinji Kagawa,78,31,10,78,0
Jonjo Shelvey,78,28,3,78,0
Rafael Tolói,78,29,9,78,0
Joshua King,78,28,17,78,0
Nordin Amrabat,78,33,11,78,0
Stevan Jovetic,78,30,14,78,0
Makoto Hasebe,78,36,3,78,0
Guilherme,78,34,1,78,0
Ralf Fährmann,78,31,6,78,0
Adel Taarabt,78,31,15,78,0
Ruud Vormer,78,32,1,78,0
Papakouli Diop,78,34,2,78,0
Javier Hernández,78,32,21,78,0
Ignacio Piatti,78,35,2,78,0
Felipe Caicedo,78,31,12,78,0
Kevin-Prince Boateng,78,33,9,78,0
Héctor Moreno,78,32,6,78,0
Domenico Criscito,78,33,6,78,0
Victor Moses,78,29,12,78,0
Danny Rose,78,30,13,78,0
Gary Cahill,78,34,3,78,0
Charles,78,36,2,78,0
Cesc Fàbregas,78,33,22,78,0
Borja Valero,78,35,5,78,0
Mathieu Debuchy,78,35,7,78,0
Dante,78,36,11,78,0
Carlos Tévez,78,36,18,78,0
Antonio Mirante,78,37,2,78,0
Guillermo Ochoa,78,35,34,78,0
Jhon Monsario,77,35,0,77,0
Bruno Guimarães,77,22,27,87,10
Samuel Chukwueze,77,21,12,86,9
Vicente Damián Castro,77,28,1,77,0
Sebastián Bruno Luna,77,32,0,77,0
Vladimír Coufal,77,27,2,78,1
Amir Rrahmani,77,26,3,81,4
Chiquinho,77,25,4,82,5
Jonathan David,77,20,63,88,11
Dwight McNeil,77,20,7,86,9
Anthony Nwakaeme,77,31,6,77,0
Sandro Tonali,77,20,168,91,14
Nicolás De la Cruz,77,23,14,85,8
Jean-Pierre Nsame,77,27,5,78,1
Ozan Kabak,77,20,31,86,9
Galeno,77,22,9,85,8
Krépin Diatta,77,21,18,86,9
Merih Demiral,77,22,48,86,9
Nicolò Zaniolo,77,21,153,87,10
Patrick Cutrone,77,22,36,86,9
Phil Foden,77,20,104,89,12
Christian Luyindama,77,26,2,80,3
Matías Rojas,77,24,4,83,6
Davidson,77,29,1,77,0
Martin Terrier,77,23,9,83,6
Michael Ngadeu,77,29,0,77,0
Calvin Stengs,77,21,20,86,9
Mattéo Guendouzi,77,21,63,86,9
Jean-Philippe Mateta,77,23,12,84,7
Fabricio Bustos,77,24,12,82,5
Zack Steffen,77,25,6,82,5
Alphonso Davies,77,19,178,88,11
Bruno Viana,77,25,4,81,4
Henry Onyekuru,77,23,11,84,7
Lucas Paquetá,77,22,58,84,7
Zubeldia,77,23,6,83,6
Xaver Schlager,77,22,6,84,7
Shoya Nakajima,77,25,10,80,3
Fikayo Tomori,77,22,47,86,9
Theo Hernández,77,22,63,83,6
Wesley,77,23,11,83,6
Daniel James,77,22,76,83,6
Marko Grujic,77,24,3,84,7
Yusuf Yazici,77,23,9,82,5
Donyell Malen,77,21,26,86,9
Joris Gnagnon,77,23,8,81,4
Gonzalo Montiel,77,23,19,84,7
Formosandrinho,77,28,0,77,0
Adilson Edrada,77,28,2,77,0
Simão Acunha,77,32,5,77,0
Muo Cadete,77,20,1,79,2
Nicolás Filhei,77,24,0,79,2
Jadsinho Mei,77,24,1,79,2
Wagner Laranjo,77,36,0,77,0
Wellington Sabrão,77,32,1,77,0
Gazzolisco,77,20,6,77,0
Córdoba,77,23,4,83,6
Gianluca Mancini,77,24,10,83,6
Toni Villa,77,25,1,80,3
Lucas Martínez Quarta,77,24,12,85,8
Borja Mayoral,77,23,20,83,6
Emil Audero,77,23,10,87,10
Agustín Rossi,77,24,5,82,5
Álex Remiro,77,25,3,83,6
Takumi Minamino,77,25,30,80,3
Kieran Tierney,77,23,68,86,9
Hwang Hee Chan,77,24,6,82,5
Ramón Ábila,77,30,2,77,0
Gonzalo Martínez,77,27,7,80,3
Emiliano Buendía,77,23,21,83,6
Guido Rodríguez,77,25,5,79,2
Irfan Can Kahveci,77,25,5,82,5
Alex Berenguer,77,25,10,82,5
Mason Holgate,77,23,15,81,4
Yeimar Gómez Andrade,77,28,0,79,2
Fábio Martins,77,27,0,78,1
Dyego Sousa,77,30,4,77,0
Adam Marušic,77,27,3,77,0
Maxime Lopez,77,22,10,80,3
Brian Fernández,77,25,6,80,3
Enes Ünal,77,23,12,83,6
Daler Kuzyaev,77,27,6,78,1
Otávio,77,26,0,79,2
Breel Embolo,77,23,25,84,7
Tarek Hamed,77,31,3,77,0
Manuel Locatelli,77,22,19,84,7
Raúl,77,30,0,77,0
Harry Wilson,77,23,15,84,7
Jaume,77,29,3,79,2
Zaldúa,77,28,0,78,1
Miguel Borja,77,27,3,78,1
Hamari Traoré,77,28,5,77,0
Ludovic Ajorque,77,26,5,80,3
Jonathan Calleri,77,26,8,80,3
Gonzalo Escalante,77,27,3,80,3
Guillermo Maripán,77,26,3,79,2
Mahmoud Dahoud,77,24,21,81,4
José Luis Palomino,77,30,13,77,0
Álex Moreno,77,27,13,80,3
Moses Simon,77,25,9,82,5
Giovanni Simeone,77,25,18,84,7
Alexander Sørloth,77,24,16,81,4
Wendell,77,27,11,80,3
Bruno Petkovic,77,25,6,81,4
Alejandro Donatti,77,33,0,77,0
Matías Kranevitter,77,27,5,81,4
Silvio Romero,77,32,2,77,0
Frank Fabra,77,29,5,77,0
Jefferson Lerma,77,25,12,80,3
Alex Iwobi,77,24,18,81,4
Erick Pulgar,77,26,24,81,4
Diego Laxalt,77,27,13,77,0
Flavien Tait,77,27,2,77,0
Frank Acheampong,77,26,11,80,3
Diego Llorente,77,26,9,82,5
Jack O'Connell,77,26,7,81,4
Ricardo Esgaio,77,27,1,78,1
Brandon Mechele,77,27,0,79,2
Nacho,77,31,1,77,0
Vincenzo Grifo,77,27,4,77,0
Camilo Vargas,77,31,5,77,0
Bruma,77,25,30,78,1
Ricardo Centurión,77,27,11,77,0
Valentino Lazaro,77,24,19,82,5
Callum McGregor,77,27,3,79,2
Rodolfo Pizarro,77,26,7,80,3
Kevin Mbabu,77,25,13,82,5
Yassine Bounou,77,29,2,78,1
Gaëtan Laborde,77,26,1,80,3
Rubén Sobrino,77,28,4,77,0
Hiroki Sakai,77,30,3,77,0
Clinton Mata,77,27,4,79,2
Sead Kolašinac,77,27,14,80,3
Bertrand Traoré,77,24,6,81,4
Sergio Rico,77,26,7,79,2
Mattia De Sciglio,77,27,22,78,1
Marko Livaja,77,26,1,79,2
Leonardo Pavoletti,77,31,7,77,0
Soualiho Meïté,77,26,0,80,3
Paulo Gazzaniga,77,28,7,80,3
Fayçal Fajr,77,31,0,77,0
John Egan,77,27,9,79,2
Raúl Ruidíaz,77,30,5,77,0
Kevin Stöger,77,26,2,78,1
Hendrik Van Crombrugge,77,27,0,80,3
Jan Boril,77,29,3,77,0
John Brooks,77,27,10,80,3
Leonardo Bittencourt,77,26,5,79,2
Robin Knoche,77,28,2,79,2
Jannik Vestergaard,77,27,8,78,1
Danny da Costa,77,27,7,79,2
Vladimír Darida,77,29,2,77,0
Adama Soumaoro,77,28,5,80,3
Pedro Obiang,77,28,1,78,1
Lars Unnerstall,77,30,2,78,1
Kévin Malcuit,77,28,13,77,0
Danilo D'Ambrosio,77,31,11,77,0
Nathan Redmond,77,26,3,78,1
Cláudio Ramos,77,28,3,80,3
Rogelio Funes Mori,77,29,4,77,0
Jordan Ayew,77,28,6,77,0
Tom Cairney,77,29,6,77,0
Phil Jones,77,28,15,77,0
Youssef El Arabi,77,33,2,77,0
Daniel Didavi,77,30,1,77,0
Gary Medel,77,32,11,77,0
Davy Pröpper,77,28,7,77,0
Tomás Rincón,77,32,3,77,0
Jeroen Zoet,77,29,4,78,1
Teemu Pukki,77,30,62,77,0
De Marcos,77,31,2,77,0
Rafael,77,30,6,77,0
Jack Wilshere,77,28,12,77,0
Alan Dzagoev,77,30,12,77,0
Douglas,77,37,3,77,0
Oliver Norwood,77,29,7,77,0
Mariano,77,34,1,77,0
Lucas Pratto,77,32,4,77,0
Sandro Wagner,77,32,8,77,0
Troy Deeney,77,32,13,77,0
Martín Cáceres,77,33,12,77,0
Marcelo,77,33,3,77,0
Loïc Rémy,77,33,7,77,0
Ryan Donk,77,34,2,77,0
Vieirinha,77,34,3,77,0
Marcus Berg,77,33,8,77,0
Claudio Bravo,77,37,15,77,0
Antonio Valencia,77,34,11,77,0
Graziano Pellè,77,35,2,77,0
Javi García,77,33,5,77,0
Jefferson Farfán,77,35,6,77,0
Thomas Vermaelen,77,34,6,77,0
Mauro Zárate,77,33,6,77,0
Javier Pinola,77,37,2,77,0
Iván Cuéllar,77,36,3,77,0
Daniel Baier,77,36,1,77,0
Emre Belözoglu,77,39,6,77,0
Kevin Berlaso,76,32,0,76,0
Alexander Aguilmera,76,34,0,76,0
Alan Zamorado,76,39,0,76,0
Edmond Tapsoba,76,21,17,86,10
Petr Ševcík,76,26,0,79,3
Mohamed Ihattaren,76,18,34,88,12
Mauro Agustín Fagundez,76,36,0,76,0
Guillermo Luis Ichazo,76,28,2,76,0
Ondrej Kolár,76,25,2,81,5
Luís Maximiano,76,21,20,86,10
Kangin Lee,76,19,33,86,10
Mathías Olivera,76,22,7,84,8
Roman Yaremchuk,76,24,2,80,4
Kunde Malong,76,25,5,81,5
Emmanuel Dennis,76,22,6,83,7
Weston McKennie,76,21,18,86,10
Nikola Milenkovic,76,22,28,83,7
Nicolás Domínguez,76,22,22,88,12
Arne Maier,76,21,9,85,9
Alan Franco,76,23,12,83,7
Samuel Kalu,76,22,7,81,5
Antonín Barák,76,25,4,79,3
Xeka,76,25,3,81,5
Robin Koch,76,24,5,80,4
Marcos Senesi,76,23,6,85,9
Noussair Mazraoui,76,22,12,82,6
Marko Rog,76,25,7,80,4
Aarón Martín,76,23,6,83,7
Fran Beltrán,76,21,7,84,8
Christian Kouamé,76,22,13,83,7
Edson Álvarez,76,22,18,83,7
Pablo Rosario,76,23,2,82,6
Josip Brekalo,76,22,4,84,8
Aurélio Buta,76,23,12,82,6
Florentino,76,20,30,86,10
Luiz Araújo,76,24,9,83,7
Odsonne Edouard,76,22,38,85,9
Amath Ndiaye,76,24,10,83,7
Riccardo Orsolini,76,23,19,85,9
Rémi Oudin,76,23,1,80,4
Tyler Adams,76,21,27,86,10
Santiago Ascacíbar,76,23,6,82,6
Justin Bijlow,76,22,1,84,8
Felix Uduokhai,76,22,2,81,5
Dodi Lukébakio,76,22,8,82,6
Ludovic Blas,76,22,8,83,7
Gautier Larsonneur,76,23,0,82,6
Amadou Diawara,76,23,8,82,6
Mouctar Diakhaby,76,23,5,81,5
Rafael Cachoira,76,20,1,76,0
David Seijalbo,76,24,1,76,0
Davi Parrela,76,20,2,76,0
Victildinho,76,24,0,76,0
Rubens Freitosa,76,36,1,76,0
Andeson Trigo,76,32,1,76,0
Nelsildo Reis,76,20,4,76,0
Fred Aníbão,76,28,0,76,0
Cris Laranjeiros,76,28,1,76,0
Eltildo Correia,76,28,3,76,0
Juli Freitinho,76,20,0,76,0
Edu Expósito,76,23,2,84,8
Gastón Pereiro,76,25,5,80,4
Davide Calabria,76,23,27,82,6
Matías Vargas,76,23,10,85,9
Oussama Idrissi,76,24,5,81,5
Benjamin Henrichs,76,23,10,80,4
Matheus Pereira,76,24,13,82,6
Pedraza,76,24,3,81,5
Rob Holding,76,24,16,83,7
Fabián Balbuena,76,28,3,77,1
Gastón Giménez,76,29,2,76,0
André-Franck Zambo Anguissa,76,24,10,82,6
Lucas Tousart,76,23,15,81,5
Vincent Janssen,76,26,10,79,3
Ugurcan Çakir,76,24,10,81,5
Trezeguet,76,25,8,79,3
Martín Campaña,76,31,1,76,0
Rolando Mandragora,76,23,4,82,6
Habib Diallo,76,25,1,81,5
Vallejo,76,23,18,82,6
Nemanja Radoja,76,27,1,77,1
Florin Andone,76,27,4,77,1
Kevin Lasagna,76,27,14,77,1
Bustinza,76,28,0,78,2
Mehmet Zeki Çelik,76,23,29,82,6
Marius Wolf,76,25,5,79,3
Jarrod Bowen,76,23,7,83,7
Sofyan Amrabat,76,23,10,83,7
Kalvin Phillips,76,24,33,82,6
Jonathan Rodríguez,76,27,4,79,3
Jonas Omlin,76,26,1,81,5
Joelinton,76,23,9,82,6
Andrea Conti,76,26,12,79,3
Ángel Mena,76,32,2,76,0
Timothy Castagne,76,24,14,81,5
Ondrej Duda,76,25,7,81,5
Alfredo Morelos,76,24,13,85,9
Ollie Watkins,76,24,17,81,5
Mislav Oršic,76,27,8,76,0
Philip Billing,76,24,8,82,6
Saïd Benrahma,76,24,29,81,5
David Brooks,76,23,18,84,8
Luca Waldschmidt,76,24,7,81,5
Jordan Amavi,76,26,7,79,3
Camarasa,76,26,4,80,4
Khama Billiat,76,29,1,76,0
Rúben Semedo,76,26,5,80,4
Wesley Hoedt,76,26,8,79,3
Maximiliano Meza,76,27,5,76,0
Seko Fofana,76,25,12,80,4
Kenny Tete,76,24,7,80,4
Maxwel Cornet,76,23,11,82,6
Kenedy,76,24,14,82,6
Jason,76,26,2,79,3
Adrien Hunou,76,26,4,79,3
Lautaro Giannetti,76,26,0,81,5
Alan Aguerre,76,29,0,78,2
Leonel Miranda,76,26,1,79,3
Ryan Christie,76,25,3,80,4
Federico Di Francesco,76,26,3,79,3
Aderllan Santos,76,31,0,76,0
Nabil Bentaleb,76,25,2,80,4
Mohamed Elneny,76,28,7,77,1
Arthur Masuaku,76,26,8,78,2
Nicolae Stanciu,76,27,2,79,3
Max Meyer,76,24,15,79,3
Neal Maupay,76,23,12,81,5
Pere Pons,76,27,0,77,1
Karol Linetty,76,25,8,80,4
Ibrahim Amadou,76,27,3,79,3
Rubén Blanco,76,25,5,83,7
Rubén García,76,27,3,77,1
Carles Gil,76,27,1,76,0
Darwin Machís,76,27,3,76,0
Albert Rusnák,76,26,1,80,4
Bruno Peres,76,30,15,76,0
Garry Rodrigues,76,29,0,76,0
Andreas Pereira,76,24,26,80,4
Tobias Strobl,76,30,1,76,0
Kaan Ayhan,76,25,12,79,3
Filipe Augusto,76,26,5,76,0
Marçal,76,31,2,76,0
Sebastian Andersson,76,29,5,76,0
Jordan Lukaku,76,26,11,79,3
Luciano Vietto,76,26,14,77,1
Eduardo Vargas,76,30,9,76,0
Pablo Marí,76,26,19,81,5
Dominique Heintz,76,26,0,78,2
Isaac Hayden,76,25,4,83,7
Yvon Mvogo,76,26,8,81,5
Calum Chambers,76,25,16,81,5
Lucas Castro,76,31,4,76,0
Alberto Moreno,76,28,11,77,1
Solomon Kverkvelia,76,28,1,78,2
Diego Oliveira,76,30,4,76,0
Charlie Taylor,76,26,1,78,2
Bouna Sarr,76,28,4,76,0
Paul Dummett,76,28,2,77,1
Viktor Fischer,76,26,6,78,2
Lucas Andersen,76,25,6,79,3
Mohamed Elyounoussi,76,25,3,79,3
Aleix Vidal,76,30,5,76,0
Alfred Gomis,76,26,3,78,2
Gabriel,76,27,3,80,4
Lorenzo Tonelli,76,30,6,76,0
James Forrest,76,29,12,76,0
Arbilla,76,33,0,76,0
Pablo Hernández,76,33,4,76,0
Marco van Ginkel,76,27,8,77,1
Wilson Eduardo,76,30,3,76,0
Ramiro Funes Mori,76,29,3,77,1
André André,76,30,0,76,0
Oguzhan Özyakup,76,27,2,77,1
Teófilo Gutiérrez,76,35,2,76,0
Giovanni Moreno,76,34,5,76,0
Dorlan Pabón,76,32,3,76,0
Adrián,76,33,9,76,0
Montoya,76,29,7,76,0
Pontus Jansson,76,29,6,77,1
Nick Viergever,76,30,2,76,0
Martin Braithwaite,76,29,19,76,0
Maxime Gonalons,76,31,5,76,0
Luis Miguel Rodríguez,76,35,4,76,0
Luis Rodríguez,76,29,8,76,0
Néstor Araújo,76,28,2,78,2
Diego Reyes,76,27,9,79,3
Mats Rits,76,27,0,79,3
Luigi Sepe,76,29,4,76,0
Giorgi Makaridze,76,30,1,77,1
Darwin Quintero,76,32,4,76,0
Eliaquim Mangala,76,29,13,77,1
Nathaniel Clyne,76,29,11,76,0
Steven Zuber,76,28,15,76,0
Lukasz Skorupski,76,29,2,78,2
Kiko Femenía,76,29,3,76,0
Serdar Aziz,76,29,2,77,1
Aleksandar Dragovic,76,29,7,77,1
Francesco Caputo,76,32,6,76,0
Theodor Gebre Selassie,76,33,2,76,0
Facundo Roncaglia,76,33,1,76,0
Maxi Moralez,76,33,6,76,0
Orestis Karnezis,76,35,1,76,0
Daniel Schwaab,76,31,3,76,0
Marc Albrighton,76,30,7,76,0
Balázs Dzsudzsák,76,33,3,76,0
Beto,76,38,3,76,0
Pablo Hernández,76,35,6,76,0
Marouane Fellaini,76,32,16,76,0
Augusto Fernández,76,34,3,76,0
Mossoró,76,37,1,76,0
Ola Toivonen,76,34,2,76,0
André Ayew,76,30,14,76,0
Lasse Schøne,76,34,4,76,0
Steven Defour,76,32,5,76,0
Danilo,76,36,2,76,0
Theo Walcott,76,31,16,76,0
Alessandro Diamanti,76,37,0,76,0
Vedad Ibiševic,76,35,0,76,0
Léo Matos,76,34,1,76,0
Salomon Kalou,76,34,6,76,0
Yuriy Zhirkov,76,36,3,76,0
Rodrigo Palacio,76,38,5,76,0
José Sand,76,40,3,76,0
Gaël Clichy,76,35,5,76,0
Diego Castro,76,38,1,76,0
Soldado,76,35,3,76,0
Arda Turan,76,33,13,76,0
Atiba Hutchinson,76,37,3,76,0
Jermain Defoe,76,37,5,76,0
Pedro Vaquizo,75,34,0,75,0
Kodjo Fo-Doh Laba,75,28,1,75,0
Eduardo Camavinga,75,17,94,86,11
Emerson,75,21,49,85,10
Robert Rojas,75,24,2,82,7
Lukas Rupp,75,29,4,75,0
Ibrahim Traoré,75,31,2,75,0
Pablo Nicolás Dárenas,75,36,0,75,0
Juan Gabriel Rodríguez,75,26,0,80,5
Mohammed Salisu,75,21,24,85,10
Patrik Hrošovsky,75,28,0,75,0
Francisco Trincão,75,20,159,88,13
Mykyta Burda,75,25,7,82,7
Vitaliy Buyalskyi,75,27,5,76,1
Filip Benkovic,75,23,6,83,8
Jovane Cabral,75,22,13,83,8
Andriy Lunin,75,21,46,87,12
William Saliba,75,19,96,88,13
Orkun Kökçü,75,19,8,85,10
Lukáš Masopust,75,27,0,75,0
Sebastiaan Bornauw,75,21,8,83,8
Martín,75,24,0,80,5
Mehdi Taremi,75,28,6,75,0
Rafael Leão,75,21,62,86,11
Manu Vallejo,75,23,4,84,9
Patson Daka,75,21,27,84,9
Zinho Vanheusden,75,21,22,86,11
Pedro Gonçalves,75,22,1,86,11
Matheus Cunha,75,21,30,85,10
João Victor,75,26,2,76,1
David Hovorka,75,26,1,79,4
Myron Boadu,75,19,34,88,13
Boubakary Soumaré,75,21,12,85,10
Vasilios Barkas,75,26,2,78,3
Bruno Tabata,75,23,3,83,8
Amadou Haidara,75,22,21,83,8
Elisha Owusu,75,22,0,83,8
Marin Pongracic,75,22,1,82,7
Reece James,75,20,84,87,12
Pervis Estupiñán,75,22,9,82,7
Moussa Djenepo,75,22,5,83,8
Alessandro Bastoni,75,21,54,85,10
Yordan Osorio,75,26,3,80,5
Juan Foyth,75,22,30,85,10
Juan Camilo Hernández,75,21,10,82,7
Justin Kluivert,75,21,48,85,10
Saša Lukic,75,23,4,82,7
Moise Kean,75,20,51,85,10
Evan Ndicka,75,20,25,85,10
Erick Cabaco,75,25,4,80,5
Arnaut Danjuma Groeneveld,75,23,2,81,6
Alberth Elis,75,24,9,81,6
Ryan Sessegnon,75,20,44,86,11
Razvan Marin,75,24,4,80,5
Eberechi Eze,75,22,15,83,8
Guus Til,75,22,3,82,7
Ghislain Konan,75,24,2,81,6
Malang Sarr,75,21,50,80,5
Ibrahim Sangaré,75,22,4,85,10
Dimitri Liénard,75,32,1,75,0
Lucas Robertone,75,23,7,84,9
Panagiotis Retsos,75,21,19,84,9
Christian Fassnacht,75,26,1,76,1
Domingos Duarte,75,25,3,79,4
Toni Martínez,75,23,1,83,8
Konstantinos Laifis,75,27,0,77,2
Valentin Rosier,75,23,5,82,7
László Bénes,75,22,5,81,6
Idrissa Doumbia,75,22,4,83,8
Diogo Dalot,75,21,45,85,10
Gedson Fernandes,75,21,16,84,9
Marcão,75,24,5,80,5
Ionu? Andrei Radu,75,23,13,86,11
Sebastián Villa,75,24,12,81,6
Aaron Ramsdale,75,22,12,83,8
Robin Le Normand,75,23,6,82,7
Aleñá,75,22,23,83,8
Rodrigo Aliendro,75,29,0,75,0
Gen Shoji,75,27,3,77,2
Daichi Kamada,75,23,13,79,4
Denys Boyko,75,32,2,75,0
Ben White,75,22,17,84,9
Yann Karamoh,75,22,11,84,9
Ontiveros,75,22,6,82,7
Romain Del Castillo,75,24,3,79,4
Waldo,75,24,3,81,6
Kelvin Amian,75,22,7,79,4
Brian Lozano,75,26,7,76,1
Emre Akbaba,75,27,4,76,1
Matheus Reis,75,25,0,79,4
Ailton Guevara,75,28,2,75,0
José Mirazar,75,24,2,75,0
Elildo Petri,75,24,0,77,2
Fabrio Farinha,75,28,5,75,0
Kaimo Lima,75,24,0,75,0
Danisco Fachini,75,32,0,75,0
Caio Nunson,75,20,0,75,0
Simão Donatinho,75,24,1,75,0
Faitout Maouassa,75,22,4,79,4
Youssef Aït Bennasser,75,24,4,79,4
Joseph Aidoo,75,24,6,81,6
Tom Davies,75,22,8,81,6
Alexandru Mitri?a,75,25,1,78,3
Djibril Sow,75,23,3,84,9
Marko Pjaca,75,25,5,78,3
João Novais,75,27,0,78,3
William,75,25,1,79,4
Yohan Boli,75,26,1,77,2
Dmitriy Barinov,75,23,1,82,7
Jeff Reine-Adélaïde,75,22,12,85,10
Almamy Touré,75,24,6,80,5
Melero,75,26,1,78,3
David Barbona,75,25,0,78,3
Omar Colley,75,27,4,78,3
Marcus Coco,75,24,1,80,5
Kaku,75,25,1,80,5
Roger Guedes,75,23,7,80,5
Roger Assalé,75,26,4,78,3
Jesús Gallardo,75,25,4,78,3
Cecilio Domínguez,75,25,3,78,3
Ainsley Maitland-Niles,75,22,31,83,8
Cesinha,75,30,1,75,0
Jean-Kévin Augustin,75,23,16,81,6
Constantin Budescu,75,31,3,75,0
Jarlan Barrera,75,24,3,82,7
Jérémie Boga,75,23,25,84,9
Lucas Hoyos,75,31,0,75,0
Jonjoe Kenny,75,23,10,83,8
François Kamano,75,24,11,78,3
André Simões,75,30,0,75,0
Domingo Blanco,75,25,2,80,5
Sergio Herrera,75,27,1,77,2
Samuel Bastien,75,23,2,80,5
Alexander Nübel,75,23,25,85,10
Timo Baumgartl,75,24,2,80,5
Marvelous Nakamba,75,26,7,78,3
Andrés Cubas,75,24,1,82,7
Youssouf Koné,75,25,6,82,7
Aaron Long,75,27,5,78,3
Arbër Zeneli,75,25,2,78,3
Lucas Olaza,75,26,4,80,5
Joe Lolley,75,27,8,75,0
Andrés Felipe Roa,75,27,3,76,1
Michael Barrios,75,29,3,75,0
Germán Conti,75,26,1,81,6
Nikola Vukcevic,75,28,0,76,1
Carlos Fernández,75,24,5,82,7
Lovre Kalinic,75,30,7,75,0
Alessandro Schöpf,75,26,3,76,1
Érick Gutiérrez,75,25,8,80,5
Ezequiel Ponce,75,23,4,81,6
Ángel Romero,75,28,3,75,0
Antonio Sanabria,75,24,24,82,7
Thomas Didillon,75,24,1,79,4
Georges-Kévin Nkoudou,75,25,6,78,3
David von Ballmoos,75,25,1,81,6
Matt Targett,75,24,4,82,7
Sargis Adamyan,75,27,1,76,1
Giovanni Di Lorenzo,75,26,20,77,2
Miha Mevlja,75,30,2,76,1
Anwar El Ghazi,75,25,7,78,3
Daley Sinkgraven,75,25,5,80,5
Tin Jedvaj,75,24,11,82,7
Jemerson,75,27,2,77,2
Deniz Türüç,75,27,2,75,0
Bartlomiej Dragowski,75,22,19,82,7
Deyverson,75,29,2,75,0
Guido Carrillo,75,29,1,75,0
Lucas Menossi,75,27,2,78,3
Lucas Romero,75,26,16,80,5
Pablo Pérez,75,34,2,75,0
Óscar Opazo,75,29,6,75,0
Helton Leite,75,29,1,77,2
Diego Rolán,75,27,2,76,1
Carlos Salcedo,75,26,9,77,2
Nicolás Castillo,75,27,7,76,1
DeAndre Yedlin,75,27,15,78,3
Leonel Vangioni,75,33,3,75,0
Medrán,75,26,3,77,2
Jo Hyeon Woo,75,28,3,77,2
Tyrone Mings,75,27,9,78,3
Darko Lazovic,75,29,7,75,0
Danilo Cataldi,75,25,6,79,4
Lisandro Magallán,75,26,2,77,2
Fernandinho,75,27,1,75,0
Marc-Oliver Kempf,75,25,5,79,4
Cristian Pellerano,75,38,0,75,0
Tomasz Kedziora,75,26,2,80,5
